,Wrong Guesses
0,Arizona
1,Connecticut
2,Delaware
3,Georgia
4,Idaho
5,Indiana
6,Iowa
7,Kansas
8,Kentucky
9,Louisiana
10,Maine
11,Maryland
12,Massachusetts
13,Michigan
14,Minnesota
15,Missouri
16,Montana
17,New Hampshire
18,North Carolina
19,Pennsylvania
20,Rhode Island
21,South Carolina
22,Tennessee
23,Utah
24,Vermont
25,West Virginia
26,Wisconsin
